entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Bangladesh,BGD,2017,2418.8828,4.3076367,161.793968,Asia,42.27734375,1716.25439193201,0.7095235833385604,0.024633494864597455,
Bangladesh,BGD,2018,2418.8828,4.59153,163.683952,Asia,44.74491119,1868.09812502228,0.7722979075390838,0.023952120389535935,
Bangladesh,BGD,2019,2418.8828,4.791032,165.516224,Asia,47.66782379,2178.80295519644,0.9007476324179245,0.021877987486804324,52.749126
Bangladesh,BGD,2019,2418.8828,4.791032,165.516224,Asia,47.66782379,2178.80295519644,0.9007476324179245,0.021877987486804324,
Belgium,BEL,2000,1589.1027,52.970646,10.264351,Europe,1849.91601563,19849.0863318723,12.490751121291469,0.09319905131650981,
Belgium,BEL,2001,1581.2432,52.792484,10.309249,Europe,1879.93481445,19540.0712800529,12.357410473008137,0.09620920965467995,
Belgium,BEL,2002,1593.6455,53.71766,10.355569,Europe,2084.7199707,21180.8623691088,13.290824320157023,0.09842469746370937,
Belgium,BEL,2003,1598.2198,55.915703,10.40255,Europe,2814.88061523,25875.2457270526,16.190042024915847,0.1087866235135707,
Belgium,BEL,2004,1587.8026,57.090435,10.456164,Europe,3312.74121094,29772.0140834378,18.750450517865257,0.1112703091452211,
Belgium,BEL,2005,1577.6764,63.273796,10.516979,Europe,3405.88500977,30809.4826448051,19.528391655478334,0.11054664724609646,
Belgium,BEL,2006,1591.6377,60.26023,10.58297,Europe,3545.92773438,32327.9315602045,20.31111198245964,0.10968619281367871,
Belgium,BEL,2007,1593.6576,61.016037,10.653698,Europe,4064.87646484,36972.4891243131,23.199769589347863,0.10994327298799415,
Belgium,BEL,2008,1582.5051,65.654396,10.72672,Europe,4653.50585938,40409.1579109223,25.534930605229835,0.11515968409037773,
Belgium,BEL,2009,1563.2252,64.385025,10.801357,Europe,4638.43896484,36866.0491099004,23.583325748523244,0.12581871604989384,
Belgium,BEL,2010,1573.8307,69.09867,10.877948,Europe,4531.03369141,36326.6393258806,23.081669029509083,0.12473032946325713,
Belgium,BEL,2011,1590.2344,67.528786,10.955742,Europe,4930.14160156,38266.9837421049,24.063737862861537,0.12883538547971313,
Belgium,BEL,2012,1587.295,67.90891,11.03114,Europe,4694.45751953,36945.8409992463,23.27597642482733,0.12706321990682978,
Belgium,BEL,2013,1585.5951,67.90904,11.10326,Europe,4941.96582031,38766.0380436211,24.448888649833176,0.12748183899394366,
Belgium,BEL,2014,1581.596,68.081566,11.176727,Europe,5063.92529297,39529.631063782,24.9935072317975,0.1281045422558899,
Belgium,BEL,2015,1575.4569,66.488235,11.248306,Europe,4432.70361328,33799.7398337937,21.453928592901335,0.1311460867769192,
Belgium,BEL,2016,1574.1542,66.85479,11.316837,Europe,4529.78710938,34528.4905949401,21.93463041609272,0.1311898386326742,
Belgium,BEL,2017,1577.9177,68.51652,11.384491,Europe,4761.87402344,36341.1910737419,23.03110680217473,0.1310324148093391,
Belgium,BEL,2018,1583.264,66.245094,11.448598,Europe,5142.3671875,39046.7014085377,24.662154516579488,0.13169786440335784,
Belgium,BEL,2019,1586.431,66.26524,11.510569,Europe,4983.65673828,38340.1219991244,24.167532025738527,0.12998541680159015,13.478635
Belgium,BEL,2019,1586.431,66.26524,11.510569,Europe,4983.65673828,38340.1219991244,24.167532025738527,0.12998541680159015,
Brazil,BRA,2000,1837.927,13.205463,175.873712,South America,310.61404419,3049.84001570879,1.6593912683739833,0.10184601244331584,
